Date,Price,Open,High,Low,Vol.,Change %
Sep 09 2019,216.60,217.25,217.50,216.25,56.57K,-0.32%
Sep 06 2019,217.30,214.25,217.30,214.15,954.76K,1.02%
Sep 05 2019,215.10,207.80,215.15,207.65,1.52M,5.08%
Sep 04 2019,204.70,203.45,205.25,202.80,814.32K,1.71%
Sep 03 2019,201.25,199.86,202.40,199.30,902.13K,0.27%
Sep 02 2019,200.70,202.50,203.75,200.05,520.07K,-0.77%
Aug 30 2019,202.25,200.50,202.90,200.45,898.27K,1.42%
Aug 29 2019,199.42,194.08,200.30,193.98,871.64K,2.74%
Aug 28 2019,194.10,192.56,194.10,191.08,784.64K,0.33%
Aug 27 2019,193.46,192.10,194.30,190.70,897.93K,0.54%
Aug 26 2019,192.42,189.12,193.32,188.90,638.19K,1.19%
Aug 23 2019,190.16,195.42,196.28,190.16,895.20K,-1.82%
Aug 22 2019,193.68,195.46,196.66,192.82,721.57K,-1.18%
Aug 21 2019,196.00,193.98,197.66,193.82,689.07K,0.90%
Aug 20 2019,194.26,194.90,196.20,193.24,654.05K,-0.42%
Aug 19 2019,195.08,193.98,195.84,193.18,800.19K,1.91%
Aug 16 2019,191.42,189.46,192.12,188.74,1.11M,1.79%
Aug 15 2019,188.06,189.28,190.26,185.00,1.11M,0.41%
Aug 14 2019,187.30,196.42,197.16,185.66,1.33M,-4.19%
Aug 13 2019,195.50,191.40,197.42,188.34,1.34M,1.82%
Aug 12 2019,192.00,192.50,194.82,190.92,741.40K,0.23%
Aug 09 2019,191.56,195.00,196.32,190.28,990.77K,-2.15%
Aug 08 2019,195.76,194.54,195.76,192.86,1.08M,2.71%
Aug 07 2019,190.60,192.80,194.96,189.08,1.21M,0.31%
Aug 06 2019,190.02,190.82,193.70,190.02,1.04M,-0.43%
Aug 05 2019,190.84,194.02,194.50,190.46,1.43M,-3.40%
Aug 02 2019,197.56,198.50,201.85,196.54,1.82M,-4.81%
Aug 01 2019,207.55,201.00,207.55,200.00,813.09K,2.34%
Jul 31 2019,202.80,204.15,206.15,202.80,955.31K,-1.07%
Jul 30 2019,205.00,207.25,207.55,203.55,744.68K,-0.51%
Jul 29 2019,206.05,207.10,208.35,206.05,559.96K,-1.13%
