Date,Price,Open,High,Low,Vol.,Change %
Sep 09 2019,46.40,46.55,46.55,46.36,1.99K,0.25%
Sep 06 2019,46.28,46.20,46.34,46.12,41.36K,0.26%
Sep 05 2019,46.16,46.48,46.48,46.10,30.62K,-0.09%
Sep 04 2019,46.20,46.32,46.44,46.12,20.20K,0.28%
Sep 03 2019,46.07,45.92,46.06,45.84,17.63K,0.41%
Sep 02 2019,45.88,45.83,46.03,45.80,11.91K,0.09%
Aug 30 2019,45.84,45.70,46.01,45.56,22.78K,0.33%
Aug 29 2019,45.69,45.29,45.72,45.29,36.84K,0.88%
Aug 28 2019,45.29,45.27,45.33,45.07,16.69K,0.07%
Aug 27 2019,45.26,45.10,45.38,45.01,11.87K,0.60%
Aug 26 2019,44.99,44.81,45.16,44.81,10.16K,0.16%
Aug 23 2019,44.92,45.53,45.55,44.80,16.63K,-0.60%
Aug 22 2019,45.19,45.40,45.45,45.23,7.79K,-0.40%
Aug 21 2019,45.37,45.23,45.41,45.23,21.09K,0.09%
Aug 20 2019,45.33,45.48,45.55,45.18,17.96K,-0.15%
Aug 19 2019,45.40,45.26,45.42,45.16,21.10K,0.84%
Aug 16 2019,45.02,44.55,45.04,44.55,9.45K,1.56%
Aug 14 2019,44.33,44.75,44.75,44.31,8.98K,-0.69%
Aug 13 2019,44.64,44.51,44.84,44.30,12.72K,0.09%
Aug 12 2019,44.60,44.90,45.03,44.43,19.01K,-0.22%
Aug 09 2019,44.70,45.00,45.00,44.67,10.92K,0.09%
Aug 08 2019,44.66,44.44,44.63,44.21,25.27K,1.64%
Aug 07 2019,43.94,44.20,44.32,43.49,12.16K,0.76%
Aug 06 2019,43.61,43.55,43.91,43.33,25.25K,-0.48%
Aug 05 2019,43.82,44.55,44.55,43.77,28.06K,-1.70%
Aug 02 2019,44.58,44.80,44.83,44.52,38.79K,-1.28%
Aug 01 2019,45.16,44.84,45.16,44.84,11.62K,0.58%
Jul 31 2019,44.90,44.98,44.98,44.77,14.96K,-0.09%
Jul 30 2019,44.94,45.18,45.18,44.88,37.44K,-0.53%
Jul 29 2019,45.18,45.23,45.27,44.99,22.93K,0.29%
Jul 26 2019,45.05,44.90,45.05,44.80,72.48K,0.65%
Jul 25 2019,44.76,44.90,45.10,44.64,30.92K,0.04%
Jul 24 2019,44.74,44.83,44.85,44.75,25.24K,0.04%
Jul 23 2019,44.72,44.70,44.85,44.60,29.08K,0.61%
Jul 22 2019,44.45,44.56,44.61,44.44,30.23K,-0.74%
Jul 19 2019,44.78,44.79,44.88,44.70,30.27K,0.47%
Jul 18 2019,44.57,44.63,44.73,44.49,23.04K,-0.13%
Jul 17 2019,44.63,44.81,44.83,44.63,32.79K,-0.16%
Jul 16 2019,44.70,44.66,44.86,44.61,9.61K,0.02%
Jul 15 2019,44.69,44.53,44.69,44.52,19.11K,0.16%
Jul 12 2019,44.62,44.63,44.73,44.56,20.90K,0.22%
Jul 11 2019,44.52,44.71,44.77,44.52,25.12K,-0.22%
Jul 10 2019,44.62,44.55,44.75,44.49,166.16K,0.25%
