timestamp,close,sod,sod_1,sod_2
2016-08-08T00:00+02:00[Europe/Amsterdam],98.4100,NaN,NaN,NaN
2016-08-09T00:00+02:00[Europe/Amsterdam],98.6100,NaN,NaN,NaN
2016-08-10T00:00+02:00[Europe/Amsterdam],97.8600,NaN,NaN,NaN
2016-08-11T00:00+02:00[Europe/Amsterdam],98.1700,NaN,NaN,NaN
2016-08-12T00:00+02:00[Europe/Amsterdam],98.5800,NaN,NaN,NaN
2016-08-15T00:00+02:00[Europe/Amsterdam],98.8100,NaN,NaN,NaN
2016-08-16T00:00+02:00[Europe/Amsterdam],97.9100,NaN,NaN,NaN
2016-08-17T00:00+02:00[Europe/Amsterdam],90.9200,18.4524,NaN,NaN
2016-08-18T00:00+02:00[Europe/Amsterdam],93.4000,43.0556,NaN,NaN
2016-08-19T00:00+02:00[Europe/Amsterdam],93.5500,44.5437,35.3507,NaN
2016-08-22T00:00+02:00[Europe/Amsterdam],93.5100,44.1469,43.9153,NaN
2016-08-23T00:00+02:00[Europe/Amsterdam],94.8100,57.0435,48.578,42.6147
2016-08-24T00:00+02:00[Europe/Amsterdam],94.7100,56.0515,52.414,48.3023
2016-08-25T00:00+02:00[Europe/Amsterdam],94.0800,49.8016,54.299,51.7637
2016-08-26T00:00+02:00[Europe/Amsterdam],94.2000,50.992,52.2817,52.9983
2016-08-29T00:00+02:00[Europe/Amsterdam],93.9900,48.9088,49.901,52.1607
2016-08-30T00:00+02:00[Europe/Amsterdam],95.8500,67.361,55.754,52.6457
2016-08-31T00:00+02:00[Europe/Amsterdam],95.3700,62.599,59.623,55.0927
2016-09-01T00:00+02:00[Europe/Amsterdam],95.0300,59.226,63.062,59.4797
2016-09-02T00:00+02:00[Europe/Amsterdam],95.2400,61.3095,61.045,61.2433
2016-09-05T00:00+02:00[Europe/Amsterdam],95.9600,68.4525,62.9963,62.3677
2016-09-06T00:00+02:00[Europe/Amsterdam],95.6700,65.5755,65.1127,63.0513
2016-09-07T00:00+02:00[Europe/Amsterdam],95.9100,67.9565,67.3283,65.1457
2016-09-08T00:00+02:00[Europe/Amsterdam],91.8700,27.8770,53.803,62.0813
2016-09-09T00:00+02:00[Europe/Amsterdam],91.5100,38.3684,44.734,55.2883
2016-09-12T00:00+02:00[Europe/Amsterdam],89.2000,39.3903,35.212,44.583
2016-09-13T00:00+02:00[Europe/Amsterdam],90.5200,47.4391,41.7327,40.5597
2016-09-14T00:00+02:00[Europe/Amsterdam],89.8000,43.0488,43.2927,40.079
